keyword_weight_strength,max_keywords,quota_prescreen_alpha,sample_id,task_type,same_frame_percent,jaccard,overlap_count,coverage_pred,topk_pred,gt_answer,coverage_correct,topk_correct
4.0,10,3,375-3,medium,68.75,0.5238095238095238,11,B,B,A,0,0
4.0,10,3,379-2,medium,75.0,0.6,12,C,C,C,1,1
4.0,10,3,615-2,long,56.25,0.391304347826087,9,C,C,C,1,1
4.0,10,3,649-1,long,62.5,0.45454545454545453,10,D,D,A,0,0
4.0,10,3,662-2,long,68.75,0.5238095238095238,11,D,C,B,0,0
4.0,10,3,712-3,long,62.5,0.45454545454545453,10,D,D,C,0,0
4.0,10,2,218-1,short,50.0,0.3333333333333333,8,C,C,C,1,1
4.0,10,2,327-2,medium,87.5,0.7777777777777778,14,D,A,A,0,1
4.0,10,2,338-2,medium,81.25,0.6842105263157895,13,A,A,A,1,1
4.0,10,2,354-3,medium,75.0,0.6,12,C,C,D,0,0
4.0,10,2,375-3,medium,68.75,0.5238095238095238,11,B,B,A,0,0
4.0,10,2,379-2,medium,87.5,0.7777777777777778,14,C,C,C,1,1
4.0,10,2,615-2,long,62.5,0.45454545454545453,10,C,C,C,1,1
4.0,10,2,649-1,long,68.75,0.5238095238095238,11,D,D,A,0,0
4.0,10,2,662-2,long,75.0,0.6,12,D,C,B,0,0
4.0,10,2,712-3,long,75.0,0.6,12,D,D,C,0,0
4.0,10,1,218-1,short,50.0,0.3333333333333333,8,C,C,C,1,1
4.0,10,1,327-2,medium,50.0,0.3333333333333333,8,D,A,A,0,1
4.0,10,1,338-2,medium,62.5,0.45454545454545453,10,A,A,A,1,1
4.0,10,1,354-3,medium,43.75,0.28,7,C,C,D,0,0
4.0,10,1,375-3,medium,62.5,0.45454545454545453,10,D,B,A,0,0
4.0,10,1,379-2,medium,37.5,0.23076923076923078,6,C,C,C,1,1
4.0,10,1,615-2,long,50.0,0.3333333333333333,8,C,C,C,1,1
4.0,10,1,649-1,long,62.5,0.45454545454545453,10,A,D,A,1,0
4.0,10,1,662-2,long,50.0,0.3333333333333333,8,D,C,B,0,0
4.0,10,1,712-3,long,68.75,0.5238095238095238,11,D,D,C,0,0
8.0,10,3,218-1,short,81.25,0.6842105263157895,13,C,C,C,1,1
8.0,10,3,327-2,medium,68.75,0.5238095238095238,11,A,D,A,1,0
8.0,10,3,338-2,medium,62.5,0.45454545454545453,10,A,A,A,1,1
8.0,10,3,354-3,medium,56.25,0.391304347826087,9,C,C,D,0,0
8.0,10,3,375-3,medium,68.75,0.5238095238095238,11,B,B,A,0,0
8.0,10,3,379-2,medium,75.0,0.6,12,C,C,C,1,1
8.0,10,3,615-2,long,56.25,0.391304347826087,9,C,C,C,1,1
8.0,10,3,649-1,long,50.0,0.3333333333333333,8,D,D,A,0,0
8.0,10,3,662-2,long,50.0,0.3333333333333333,8,D,C,B,0,0
8.0,10,3,712-3,long,68.75,0.5238095238095238,11,D,D,C,0,0
8.0,10,2,218-1,short,50.0,0.3333333333333333,8,C,C,C,1,1
8.0,10,2,327-2,medium,87.5,0.7777777777777778,14,D,D,A,0,0
8.0,10,2,338-2,medium,75.0,0.6,12,A,A,A,1,1
8.0,10,2,354-3,medium,68.75,0.5238095238095238,11,C,C,D,0,0
8.0,10,2,375-3,medium,75.0,0.6,12,B,B,A,0,0
8.0,10,2,379-2,medium,81.25,0.6842105263157895,13,C,C,C,1,1
8.0,10,2,615-2,long,62.5,0.45454545454545453,10,C,C,C,1,1
8.0,10,2,649-1,long,68.75,0.5238095238095238,11,D,D,A,0,0
8.0,10,2,662-2,long,68.75,0.5238095238095238,11,B,C,B,1,0
8.0,10,2,712-3,long,68.75,0.5238095238095238,11,D,D,C,0,0
8.0,10,1,218-1,short,50.0,0.3333333333333333,8,C,C,C,1,1
8.0,10,1,327-2,medium,50.0,0.3333333333333333,8,D,D,A,0,0
8.0,10,1,338-2,medium,62.5,0.45454545454545453,10,A,A,A,1,1
8.0,10,1,354-3,medium,43.75,0.28,7,C,C,D,0,0
8.0,10,1,375-3,medium,62.5,0.45454545454545453,10,D,B,A,0,0
8.0,10,1,379-2,medium,37.5,0.23076923076923078,6,C,C,C,1,1
8.0,10,1,615-2,long,50.0,0.3333333333333333,8,C,C,C,1,1
8.0,10,1,649-1,long,43.75,0.28,7,A,D,A,1,0
8.0,10,1,662-2,long,37.5,0.23076923076923078,6,D,C,B,0,0
8.0,10,1,712-3,long,62.5,0.45454545454545453,10,D,D,C,0,0
